Dimension, Value, Description
"Age","30-70","30 to 70 years old"
"Age","<1Y","under 1 year old"
"Age","<5Y","under 5 years old"
"Age","<1M","under 1 month old"
"Age","<15Y","under 15 years old"
"Age","ALLAGE","All age ranges or no breaks by age"
"Age","15-49","15 to 49 years old"
"Age","15+","15 years old and over"
"Age","15+","15 years old and over"
"Age","ALLAGE","All age ranges or no breaks by age"
"Age","15+","15 years old and over"
"Age","30-70","30 to 70 years old"
"Age","<1Y","under 1 year old"
"Age","ALLAGE","All age ranges or no breaks by age"
"Age","ALLAGE","All age ranges or no breaks by age"
"Age","ALLAGE","All age ranges or no breaks by age"
"Age","<1M","under 1 month old"
"Age","ALLAGE","All age ranges or no breaks by age"
"Age","30-70","30 to 70 years old"
"Age","30-70","30 to 70 years old"
"Age","30-70","30 to 70 years old"
"Age","<5Y","under 5 years old"
"Age","15-49","15 to 49 years old"
"Age","ALLAGE","All age ranges or no breaks by age"
"Age","ALLAGE","All age ranges or no breaks by age"
"Age","15-19","15 to 19 years old"
"Age","<5Y","under 5 years old"
"Bounds","MP","P"
"Bounds","LB","Lower bound"
"Bounds","UB","Upper bound"
"Bounds","MP","P"
"Bounds","LB","Lower bound"
"Bounds","UB","Upper bound"
"Bounds","MP","P"
"Bounds","LB","Lower bound"
"Bounds","UB","Upper bound"
"Bounds","MP","P"
"Bounds","MP","P"
"Bounds","MP","P"
"Bounds","MP","P"
"Bounds","MP","P"
"Bounds","MP","P"
"Bounds","MP","P"
"Bounds","LB","Lower bound"
"Bounds","UB","Upper bound"
"Bounds","MP","P"
"Bounds","MP","P"
"Bounds","MP","P"
"Bounds","LB","Lower bound"
"Bounds","UB","Upper bound"
"Bounds","MP","P"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"IHR Capacity","IHR01","National legislation, policy and financing"
"IHR Capacity","IHR02"," Coordination and National Focal Point communications"
"IHR Capacity","IHR03","Surveillance"
"IHR Capacity","IHR04","Response"
"IHR Capacity","IHR05","Preparedness"
"IHR Capacity","IHR06","Risk communication"
"IHR Capacity","IHR07","Human resources"
"IHR Capacity","IHR08","Laboratory"
"IHR Capacity","IHR09","Points of entry"
"IHR Capacity","IHR10"," Zoonotic events"
"IHR Capacity","IHR11","Food safety"
"IHR Capacity","IHR12","Chemical events"
"IHR Capacity","IHR13","Radionuclear emergencies"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Name of non-communicable disease","CAN","cancer"
"Name of non-communicable disease","CAR","cardiovascular disease"
"Name of non-communicable disease","DIA","diabetes"
"Name of non-communicable disease","RES","chronic respiratory disease"
"Sex","FEMALE","Female"
"Sex","FEMALE","Female"
"Sex","MALE","Male"
"Sex","BOTHSEX","Both"
"Sex","BOTHSEX","Both"
"Sex","BOTHSEX","Both"
"Sex","FEMALE","Female"
"Sex","MALE","Male"
"Sex","BOTHSEX","Both"
"Sex","BOTHSEX","Both"
