Dimension, Value, Description
"Age","ALLAGE","All age ranges or no breaks by age"
"Age","<5Y","under 5 years old"
"Age","ALLAGE","All age ranges or no breaks by age"
"Age","ALLAGE","All age ranges or no breaks by age"
"Age","15+","15 years old and over"
"Age","15+","15 years old and over"
"Age","<5Y","under 5 years old"
"Age","<5Y","under 5 years old"
"Age","<5Y","under 5 years old"
"Age","<5Y","under 5 years old"
"Age","ALLAGE","All age ranges or no breaks by age"
"Age","ALLAGE","All age ranges or no breaks by age"
"Age","15+","15 years old and over"
"Age","15+","15 years old and over"
"Age","<5Y","under 5 years old"
"Age","15+","15 years old and over"
"Age","15+","15 years old and over"
"Age","15+","15 years old and over"
"Age","15+","15 years old and over"
"Age","<5Y","under 5 years old"
"Age","<5Y","under 5 years old"
"Age","<5Y","under 5 years old"
"Age","<5Y","under 5 years old"
"Age","<5Y","under 5 years old"
"Age","<5Y","under 5 years old"
"Bounds","MP","P"
"Bounds","LB","Lower bound"
"Bounds","UB","Upper bound"
"Bounds","MP","P"
"Bounds","LB","Lower bound"
"Bounds","UB","Upper bound"
"Bounds","MP","P"
"Bounds","MP","P"
"Bounds","LB","Lower bound"
"Bounds","UB","Upper bound"
"Bounds","MP","P"
"Bounds","LB","Lower bound"
"Bounds","UB","Upper bound"
"Bounds","MP","P"
"Bounds","LB","Lower bound"
"Bounds","UB","Upper bound"
"Bounds","MP","P"
"Bounds","LB","Lower bound"
"Bounds","UB","Upper bound"
"Bounds","MP","P"
"Bounds","LB","Lower bound"
"Bounds","UB","Upper bound"
"Bounds","MP","P"
"Bounds","LB","Lower bound"
"Bounds","UB","Upper bound"
"Bounds","MP","P"
"Bounds","LB","Lower bound"
"Bounds","UB","Upper bound"
"Bounds","MP","P"
"Bounds","LB","Lower bound"
"Bounds","UB","Upper bound"
"Bounds","MP","P"
"Bounds","LB","Lower bound"
"Bounds","UB","Upper bound"
"Bounds","MP","P"
"Bounds","LB","Lower bound"
"Bounds","UB","Upper bound"
"Bounds","MP","P"
"Bounds","LB","Lower bound"
"Bounds","UB","Upper bound"
"Bounds","MP","P"
"Bounds","LB","Lower bound"
"Bounds","UB","Upper bound"
"Bounds","MP","P"
"Bounds","LB","Lower bound"
"Bounds","UB","Upper bound"
"Bounds","MP","P"
"Bounds","MP","P"
"Bounds","LB","Lower bound"
"Bounds","UB","Upper bound"
"Bounds","MP","P"
"Bounds","LB","Lower bound"
"Bounds","UB","Upper bound"
"Bounds","MP","P"
"Bounds","LB","Lower bound"
"Bounds","UB","Upper bound"
"Bounds","MP","P"
"Bounds","LB","Lower bound"
"Bounds","UB","Upper bound"
"Bounds","MP","P"
"Bounds","LB","Lower bound"
"Bounds","UB","Upper bound"
"Bounds","MP","P"
"Bounds","LB","Lower bound"
"Bounds","UB","Upper bound"
"Bounds","MP","P"
"Bounds","LB","Lower bound"
"Bounds","UB","Upper bound"
"Bounds","MP","P"
"Bounds","MP","P"
"Bounds","MP","P"
"Freq","ANNUAL","Annual"
