Goal,Target,Indicator,SeriesCode,Country,Time,Val,ValType,Age,Freq,Location,Nature,Sex,Units,ValueType
2,2.c,2.c.1,AG_FPA_MILLET,Nigeria,2016,2.1915500,Float,All,A,T,E,Total,index,P
2,2.c,2.c.1,AG_FPA_MILLET,Niger,2016,0.6205375,Float,All,A,T,E,Total,index,P
2,2.c,2.c.1,AG_FPA_MILLET,Namibia,2016,1.9842650,Float,All,A,T,E,Total,index,P
2,2.5,2.5.1,ER_GRF_ANIMKPT,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",2013,6656,Float,All,A,T,C,Total,#,P
2,2.5,2.5.1,ER_GRF_ANIMKPT,Lithuania,2013,139,Float,All,A,T,C,Total,#,P
2,2.5,2.5.1,ER_GRF_ANIMKPT,Latvia,2013,141,Float,All,A,T,C,Total,#,P
2,2.5,2.5.1,ER_GRF_ANIMKPT,Tajikistan,2013,16,Float,All,A,T,C,Total,#,P
2,2.5,2.5.1,ER_GRF_ANIMKPT,India,2013,170,Float,All,A,T,C,Total,#,P
2,2.5,2.5.1,ER_GRF_ANIMKPT,Bangladesh,2013,38,Float,All,A,T,C,Total,#,P
2,2.5,2.5.1,ER_GRF_ANIMKPT,Bhutan,2013,37,Float,All,A,T,C,Total,#,P
2,2.5,2.5.1,ER_GRF_ANIMKPT,Maldives,2013,6,Float,All,A,T,C,Total,#,P
2,2.5,2.5.1,ER_GRF_ANIMKPT,"Iran, Islamic Republic of",2013,96,Float,All,A,T,C,Total,#,P
2,2.5,2.5.1,ER_GRF_ANIMKPT,Mongolia,2013,63,Float,All,A,T,C,Total,#,P
2,2.5,2.5.1,ER_GRF_ANIMKPT,Japan,2013,94,Float,All,A,T,C,Total,#,P
2,2.5,2.5.1,ER_GRF_ANIMKPT,China,2013,374,Float,All,A,T,C,Total,#,P
2,2.5,2.5.1,ER_GRF_ANIMKPT,Eastern Asia,2013,578,Float,All,A,T,C,Total,#,P
2,2.5,2.5.1,ER_GRF_ANIMKPT,Eastern and South-Eastern Asia,2013,1011,Float,All,A,T,C,Total,#,P
2,2.5,2.5.1,ER_GRF_ANIMKPT,Nepal,2013,63,Float,All,A,T,C,Total,#,P
2,2.5,2.5.1,ER_GRF_ANIMKPT,South-eastern Asia,2013,433,Float,All,A,T,C,Total,#,P
2,2.5,2.5.1,ER_GRF_ANIMKPT,Korea (South),2013,47,Float,All,A,T,C,Total,#,P
2,2.5,2.5.1,ER_GRF_ANIMKPT,Malaysia,2013,71,Float,All,A,T,C,Total,#,P
2,2.5,2.5.1,ER_GRF_ANIMKPT,Slovakia,2013,50,Float,All,A,T,C,Total,#,P
2,2.5,2.5.1,ER_GRF_ANIMKPT,Philippines,2013,129,Float,All,A,T,C,Total,#,P
2,2.5,2.5.1,ER_GRF_ANIMKPT,Northern Europe,2013,1178,Float,All,A,T,C,Total,#,P
2,2.5,2.5.1,ER_GRF_ANIMKPT,Belgium,2013,160,Float,All,A,T,C,Total,#,P
2,2.5,2.5.1,ER_GRF_ANIMKPT,Ukraine,2013,314,Float,All,A,T,C,Total,#,P
2,2.5,2.5.1,ER_GRF_ANIMKPT,Liberia,2013,12,Float,All,A,T,C,Total,#,P
2,2.5,2.5.1,ER_GRF_ANIMKPT,Niger,2013,37,Float,All,A,T,C,Total,#,P
