Dimension, Value, Description
"Age","ALLAGE","All age ranges or no breaks by age"
"Age","ALLAGE","All age ranges or no breaks by age"
"Age","ALLAGE","All age ranges or no breaks by age"
"Age","ALLAGE","All age ranges or no breaks by age"
"Age","ALLAGE","All age ranges or no breaks by age"
"Bounds","MP","P"
"Bounds","MP","P"
"Bounds","MP","P"
"Bounds","MP","P"
"Bounds","MP","P"
"Bounds","MP","P"
"Bounds","MP","P"
"Bounds","MP","P"
"Bounds","MP","P"
"Bounds","LB","Lower bound"
"Bounds","LB","Lower bound"
"Bounds","LB","Lower bound"
"Bounds","LB","Lower bound"
"Bounds","LB","Lower bound"
"Bounds","LB","Lower bound"
"Bounds","LB","Lower bound"
"Bounds","LB","Lower bound"
"Bounds","UB","Upper bound"
"Bounds","UB","Upper bound"
"Bounds","UB","Upper bound"
"Bounds","UB","Upper bound"
"Bounds","UB","Upper bound"
"Bounds","UB","Upper bound"
"Bounds","UB","Upper bound"
"Bounds","UB","Upper bound"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Sex","BOTHSEX","Both"
"Sex","BOTHSEX","Both"
"Sex","BOTHSEX","Both"
"Sex","BOTHSEX","Both"
"Sex","BOTHSEX","Both"
"Units","CON_USD","Constant USD"
"Units","CON_USD","Constant USD"
"Units","HECTARES","Hectares"
"Units","INDEX","Index"
"Units","INDEX","Index"
"Units","KMSQ","Square kilometers"
"Units","KMSQ","Square kilometers"
"Units","NOTAP","Not applicable"
"Units","NUMBER","Number"
"Units","NUMBER","Number"
"Units","NUMBER","Number"
"Units","NUMBER","Number"
"Units","NUMBER","Number"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","T_PER_HA","Tonnes per hectare"
"Units","T_PER_HA","Tonnes per hectare"
"Units","TONNES_M","millions of tonnes"
"Units","HA_TH","Thousands of hectares"
"Units","HA_TH","Thousands of hectares"
"Units","HA_TH","Thousands of hectares"
