Dimension, Value, Description
"Age","ALLAGE","All age ranges or no breaks by age"
"Age","ALLAGE","All age ranges or no breaks by age"
"Age","ALLAGE","All age ranges or no breaks by age"
"Age","15-19","15 to 19 years old"
"Age","15-19","15 to 19 years old"
"Age","15-24","15 to 24 years old"
"Age","15-49","15 to 49 years old"
"Age","15-49","15 to 49 years old"
"Age","20-24","20 to 24 years old"
"Age","20-24","20 to 24 years old"
"Age","20-24","20 to 24 years old"
"Age","20-29","20 to 29 years old"
"Age","25-29","25 to 29 years old"
"Age","25-34","25 to 34 years old"
"Age","30-34","30 to 34 years old"
"Age","30-39","30 to 39 years old"
"Age","35-39","35 to 39 years old"
"Age","35-44","35 to 44 years old"
"Age","35-49","35 to 49 years old"
"Age","40-44","40 to 44 years old"
"Age","40-49","40 to 49 years old"
"Age","45-49","45 to 49 years old"
"Age","45-59","45 to 59 years old"
"Bounds","MP","P"
"Bounds","MP","P"
"Bounds","MP","P"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Sex","FEMALE","Female"
"Sex","FEMALE","Female"
"Sex","FEMALE","Female"
"Sex","FEMALE","Female"
"Sex","FEMALE","Female"
"Sex","FEMALE","Female"
"Sex","FEMALE","Female"
"Sex","FEMALE","Female"
"Sex","FEMALE","Female"
"Sex","FEMALE","Female"
"Sex","FEMALE","Female"
"Sex","FEMALE","Female"
"Sex","MALE","Male"
"Sex","MALE","Male"
"Sex","MALE","Male"
"Sex","MALE","Male"
"Sex","BOTHSEX","Both"
"Sex","BOTHSEX","Both"
"Units","NUMBER","Number"
"Units","NUMBER","Number"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","PER_MARW_20T24Y","% of married women aged 20-24 years"
"Units","PER_MARW_20T24Y","% of married women aged 20-24 years"
