Goal,Target,Indicator,SeriesCode,Country,Time,Val,ValType,Age,Freq,Location,Nature,Sex,Units,ValueType
10,10.b,10.b.1,DC_TRF_TOTDL,Belgium,2007,2762.21,Float,All,A,T,NA,Total,USD,P
10,10.b,10.b.1,DC_TRF_TOTDL,Australia,2005,4143.98,Float,All,A,T,NA,Total,USD,P
10,10.b,10.b.1,DC_TRF_TOTDL,Japan,2001,12319.93,Float,All,A,T,NA,Total,USD,P
10,10.b,10.b.1,DC_TRF_TOTDL,United States of America,2004,23289.7,Float,All,A,T,NA,Total,USD,P
10,10.b,10.b.1,DC_TRF_TOTDL,United Arab Emirates,2005,508.4,Float,All,A,T,NA,Total,USD,P
10,10.b,10.b.1,DC_TRF_TOTDL,Italy,2004,1432.05,Float,All,A,T,NA,Total,USD,P
10,10.b,10.b.1,DC_TRF_TOTDL,Poland,2004,24.89,Float,All,A,T,NA,Total,USD,P
10,10.b,10.b.1,DC_TRF_TOTDL,Sweden,2007,5426.81,Float,All,A,T,NA,Total,USD,P
10,10.b,10.b.1,DC_TRF_TOTDL,Iceland,2007,37.39,Float,All,A,T,NA,Total,USD,P
10,10.b,10.b.1,DC_TRF_TOTDL,United Arab Emirates,2001,486.62,Float,All,A,T,NA,Total,USD,P
10,10.b,10.b.1,DC_TRF_TOTDL,Japan,2008,29027.13,Float,All,A,T,NA,Total,USD,P
10,10.b,10.b.1,DC_TRF_TOTDL,Portugal,2004,515.01,Float,All,A,T,NA,Total,USD,P
10,10.b,10.b.1,DC_TRF_TOTDL,Turkey,2000,25.77,Float,All,A,T,NA,Total,USD,P
10,10.b,10.b.1,DC_TRF_TOTDL,Lithuania,2007,23.76,Float,All,A,T,NA,Total,USD,P
10,10.b,10.b.1,DC_TRF_TOTDL,New Zealand,2005,256.8,Float,All,A,T,NA,Total,USD,P
10,10.b,10.b.1,DC_TRF_TOTDL,Saudi Arabia,2005,979.72,Float,All,A,T,NA,Total,USD,P
10,10.b,10.b.1,DC_TRF_TOTDL,Israel,2004,74.98,Float,All,A,T,NA,Total,USD,P
10,10.b,10.b.1,DC_TRF_TOTDL,Switzerland,2007,5943.58,Float,All,A,T,NA,Total,USD,P
10,10.b,10.b.1,DC_TRF_TOTDL,United Kingdom,2007,44972.38,Float,All,A,T,NA,Total,USD,P
10,10.b,10.b.1,DC_TRF_TOTDL,Norway,2007,5532.07,Float,All,A,T,NA,Total,USD,P
10,10.b,10.b.1,DC_TRF_TOTDL,Turkey,2001,18.92,Float,All,A,T,NA,Total,USD,P
10,10.b,10.b.1,DC_TRF_TOTDL,Israel,2005,79.65,Float,All,A,T,NA,Total,USD,P
10,10.b,10.b.1,DC_TRF_TOTDL,Australia,2008,2857.55,Float,All,A,T,NA,Total,USD,P
10,10.b,10.b.1,DC_TRF_TOTDL,New Zealand,2001,84.74,Float,All,A,T,NA,Total,USD,P
10,10.b,10.b.1,DC_TRF_TOTDL,Czech Republic,2004,63.58,Float,All,A,T,NA,Total,USD,P
10,10.b,10.b.1,DC_TRF_TOTDL,Ireland,2007,824.08,Float,All,A,T,NA,Total,USD,P
10,10.b,10.b.1,DC_TRF_TOTDL,France,2007,39501.01,Float,All,A,T,NA,Total,USD,P
10,10.b,10.b.1,DC_TRF_TOTDL,New Zealand,2008,315.18,Float,All,A,T,NA,Total,USD,P
10,10.b,10.b.1,DC_TRF_TOTDL,Latvia,2007,1.46,Float,All,A,T,NA,Total,USD,P
10,10.b,10.b.1,DC_TRF_TOTDL,Saudi Arabia,2001,110.42,Float,All,A,T,NA,Total,USD,P
10,10.b,10.b.1,DC_TRF_TOTDL,Malta,2015,8.02,Float,All,A,T,NA,Total,USD,P
10,10.b,10.b.1,DC_TRF_TOTDL,Kuwait,2004,99.12,Float,All,A,T,NA,Total,USD,P
10,10.b,10.b.1,DC_TRF_TOTDL,Liechtenstein,2007,16.67,Float,All,A,T,NA,Total,USD,P
10,10.b,10.b.1,DC_TRF_TOTDL,Spain,2004,11724.85,Float,All,A,T,NA,Total,USD,P
10,10.b,10.b.1,DC_TRF_TOTDL,Spain,2015,20998.64,Float,All,A,T,NA,Total,USD,P
10,10.b,10.b.1,DC_TRF_TOTDL,Estonia,2007,2.61,Float,All,A,T,NA,Total,USD,P
10,10.b,10.b.1,DC_TRF_TOTDL,Thailand,2010,-4.39,Float,All,A,T,NA,Total,USD,P
10,10.b,10.b.1,DC_TRF_TOTDL,Cyprus,2005,4.36,Float,All,A,T,NA,Total,USD,P
10,10.b,10.b.1,DC_TRF_TOTDL,Poland,2007,155.8,Float,All,A,T,NA,Total,USD,P
10,10.b,10.b.1,DC_TRF_TOTDL,Switzerland,2015,5809.83,Float,All,A,T,NA,Total,USD,P
10,10.b,10.b.1,DC_TRF_TOTDL,Denmark,2007,3775.88,Float,All,A,T,NA,Total,USD,P
10,10.b,10.b.1,DC_TRF_TOTDL,Luxembourg,2007,253.49,Float,All,A,T,NA,Total,USD,P
10,10.b,10.b.1,DC_TRF_TOTDL,Israel,2001,85.51,Float,All,A,T,NA,Total,USD,P
10,10.b,10.b.1,DC_TRF_TOTDL,Cyprus,2010,30.41,Float,All,A,T,NA,Total,USD,P
10,10.b,10.b.1,DC_TRF_TOTDL,Korea (South),2005,4510.03,Float,All,A,T,NA,Total,USD,P
10,10.b,10.b.1,DC_TRF_TOTDL,Slovenia,2015,118.19,Float,All,A,T,NA,Total,USD,P
10,10.b,10.b.1,DC_TRF_TOTDL,Finland,2007,1731.87,Float,All,A,T,NA,Total,USD,P
10,10.b,10.b.1,DC_TRF_TOTDL,Japan,2004,11323.59,Float,All,A,T,NA,Total,USD,P
10,10.b,10.b.1,DC_TRF_TOTDL,United States of America,2007,122551.93,Float,All,A,T,NA,Total,USD,P
10,10.b,10.b.1,DC_TRF_TOTDL,Netherlands,2015,64276.63,Float,All,A,T,NA,Total,USD,P
10,10.b,10.b.1,DC_TRF_TOTDL,Austria,2007,19798.43,Float,All,A,T,NA,Total,USD,P
