Goal,Target,Indicator,SeriesCode,Country,Time,Val,ValType,Age,Freq,Location,Nature,Sex,Units,ValueType
9,9.a,9.a.1,DC_TOF_INFRAL,Madagascar,2007,174.105934,Float,All,A,T,NA,Total,USD,P
9,9.a,9.a.1,DC_TOF_INFRAL,Middle Africa,2007,290.430787,Float,All,A,T,NA,Total,USD,P
9,9.a,9.a.1,DC_TOF_INFRAL,Tonga,2010,24.657753,Float,All,A,T,NA,Total,USD,P
9,9.a,9.a.1,DC_TOF_INFRAL,Comoros,2007,3.70644,Float,All,A,T,NA,Total,USD,P
9,9.a,9.a.1,DC_TOF_INFRAL,Chile,2007,47.32946,Float,All,A,T,NA,Total,USD,P
9,9.a,9.a.1,DC_TOF_INFRAL,Namibia,2007,29.034568,Float,All,A,T,NA,Total,USD,P
9,9.a,9.a.1,DC_TOF_INFRAL,Micronesia,2012,33.573852,Float,All,A,T,NA,Total,USD,P
9,9.a,9.a.1,DC_TOF_INFRAL,Paraguay,2002,1.948491,Float,All,A,T,NA,Total,USD,P
9,9.a,9.a.1,DC_TOF_INFRAL,Nicaragua,2015,203.552705,Float,All,A,T,NA,Total,USD,P
9,9.a,9.a.1,DC_TOF_INFRAL,Cook Islands,2012,14.055697,Float,All,A,T,NA,Total,USD,P
9,9.a,9.a.1,DC_TOF_INFRAL,Seychelles,2003,0.016378,Float,All,A,T,NA,Total,USD,P
9,9.a,9.a.1,DC_TOF_INFRAL,Suriname,2011,58.723075,Float,All,A,T,NA,Total,USD,P
9,9.a,9.a.1,DC_TOF_INFRAL,Latin America and the Caribbean,2009,7870.657713,Float,All,A,T,NA,Total,USD,P
9,9.a,9.a.1,DC_TOF_INFRAL,Sierra Leone,2002,27.565047,Float,All,A,T,NA,Total,USD,P
9,9.a,9.a.1,DC_TOF_INFRAL,Venezuela (Bolivarian Republic),2007,0.139361,Float,All,A,T,NA,Total,USD,P
9,9.a,9.a.1,DC_TOF_INFRAL,Polynesia,2012,62.580193,Float,All,A,T,NA,Total,USD,P
9,9.a,9.a.1,DC_TOF_INFRAL,"Tanzania, United Republic of",2007,207.920491,Float,All,A,T,NA,Total,USD,P
9,9.a,9.a.1,DC_TOF_INFRAL,Eastern Africa,2002,1226.577183,Float,All,A,T,NA,Total,USD,P
9,9.a,9.a.1,DC_TOF_INFRAL,Peru,2011,131.496644,Float,All,A,T,NA,Total,USD,P
9,9.a,9.a.1,DC_TOF_INFRAL,South Africa,2007,177.807099,Float,All,A,T,NA,Total,USD,P
9,9.a,9.a.1,DC_TOF_INFRAL,Libya,2007,3.251019,Float,All,A,T,NA,Total,USD,P
9,9.a,9.a.1,DC_TOF_INFRAL,Montenegro,2009,66.964455,Float,All,A,T,NA,Total,USD,P
9,9.a,9.a.1,DC_TOF_INFRAL,Venezuela (Bolivarian Republic),2002,16.252353,Float,All,A,T,NA,Total,USD,P
9,9.a,9.a.1,DC_TOF_INFRAL,Mali,2010,125.322813,Float,All,A,T,NA,Total,USD,P
