Dimension, Value, Description
"Age","ALLAGE","All age ranges or no breaks by age"
"Age","ALLAGE","All age ranges or no breaks by age"
"Age","ALLAGE","All age ranges or no breaks by age"
"Age","ALLAGE","All age ranges or no breaks by age"
"Age","ALLAGE","All age ranges or no breaks by age"
"Age","ALLAGE","All age ranges or no breaks by age"
"Age","ALLAGE","All age ranges or no breaks by age"
"Age","ALLAGE","All age ranges or no breaks by age"
"Age","ALLAGE","All age ranges or no breaks by age"
"Age","ALLAGE","All age ranges or no breaks by age"
"Age","ALLAGE","All age ranges or no breaks by age"
"Age","ALLAGE","All age ranges or no breaks by age"
"Age","ALLAGE","All age ranges or no breaks by age"
"Age","ALLAGE","All age ranges or no breaks by age"
"Age","ALLAGE","All age ranges or no breaks by age"
"Age","ALLAGE","All age ranges or no breaks by age"
"Age","ALLAGE","All age ranges or no breaks by age"
"Age","ALLAGE","All age ranges or no breaks by age"
"Age","ALLAGE","All age ranges or no breaks by age"
"Age","ALLAGE","All age ranges or no breaks by age"
"Age","ALLAGE","All age ranges or no breaks by age"
"Age","ALLAGE","All age ranges or no breaks by age"
"Age","ALLAGE","All age ranges or no breaks by age"
"Age","ALLAGE","All age ranges or no breaks by age"
"Age","ALLAGE","All age ranges or no breaks by age"
"Age","ALLAGE","All age ranges or no breaks by age"
"Age","ALLAGE","All age ranges or no breaks by age"
"Age","ALLAGE","All age ranges or no breaks by age"
"Age","ALLAGE","All age ranges or no breaks by age"
"Age","ALLAGE","All age ranges or no breaks by age"
"Age","ALLAGE","All age ranges or no breaks by age"
"Age","ALLAGE","All age ranges or no breaks by age"
"Age","ALLAGE","All age ranges or no breaks by age"
"Age","ALLAGE","All age ranges or no breaks by age"
"Age","ALLAGE","All age ranges or no breaks by age"
"Age","ALLAGE","All age ranges or no breaks by age"
"Age","ALLAGE","All age ranges or no breaks by age"
"Bounds","MP","P"
"Bounds","MP","P"
"Bounds","MP","P"
"Bounds","MP","P"
"Bounds","MP","P"
"Bounds","MP","P"
"Bounds","MP","P"
"Bounds","MP","P"
"Bounds","MP","P"
"Bounds","MP","P"
"Bounds","MP","P"
"Bounds","MP","P"
"Bounds","MP","P"
"Bounds","MP","P"
"Bounds","MP","P"
"Bounds","MP","P"
"Bounds","MP","P"
"Bounds","MP","P"
"Bounds","MP","P"
"Bounds","MP","P"
"Bounds","MP","P"
"Bounds","MP","P"
"Bounds","MP","P"
"Bounds","MP","P"
"Bounds","MP","P"
"Bounds","MP","P"
"Bounds","MP","P"
"Bounds","MP","P"
"Bounds","MP","P"
"Bounds","MP","P"
"Bounds","MP","P"
"Bounds","MP","P"
"Bounds","MP","P"
"Bounds","MP","P"
"Bounds","MP","P"
"Bounds","MP","P"
"Bounds","MP","P"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
