Dimension, Value, Description
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Sex","BOTHSEX","Both"
"Sex","BOTHSEX","Both"
"Sex","BOTHSEX","Both"
"Sex","BOTHSEX","Both"
"Sex","BOTHSEX","Both"
"Sex","BOTHSEX","Both"
"Sex","BOTHSEX","Both"
"Sex","BOTHSEX","Both"
"Sex","BOTHSEX","Both"
"Sex","BOTHSEX","Both"
"Sex","BOTHSEX","Both"
"Sex","BOTHSEX","Both"
"Sex","BOTHSEX","Both"
"Sex","BOTHSEX","Both"
"Sex","BOTHSEX","Both"
"Sex","BOTHSEX","Both"
"Sex","BOTHSEX","Both"
"Sex","BOTHSEX","Both"
"Sex","BOTHSEX","Both"
"Sex","BOTHSEX","Both"
"Sex","BOTHSEX","Both"
"Sex","BOTHSEX","Both"
"Sex","BOTHSEX","Both"
"Sex","BOTHSEX","Both"
"Sex","BOTHSEX","Both"
"Sex","BOTHSEX","Both"
"Sex","BOTHSEX","Both"
"Sex","BOTHSEX","Both"
"Sex","BOTHSEX","Both"
"Sex","BOTHSEX","Both"
"Sex","BOTHSEX","Both"
"Sex","BOTHSEX","Both"
"Sex","BOTHSEX","Both"
"Sex","BOTHSEX","Both"
"Sex","BOTHSEX","Both"
"Sex","BOTHSEX","Both"
"Sex","BOTHSEX","Both"
"Tariff regime (status)","MFN","most-favoured-nation status"
"Tariff regime (status)","PRF","preferential status"
"Type of product","TEX","textiles"
"Type of product","OIL","oil"
"Type of product","AGR","agricultural products"
"Type of product","ALP","all products"
"Type of product","ARM","arms"
"Type of product","CLO","clothing"
"Type of product","IND","industrial products"
"Type of product","OIL","oil"
"Type of product","TEX","textiles"
"Type of product","AGR","agricultural products"
"Type of product","ALP","all products"
"Type of product","ARM","arms"
"Type of product","CLO","clothing"
"Type of product","IND","industrial products"
"Type of speed","10MBPS","10 mbps and over"
"Type of speed","256KT2MBPS","between 256 kbps and 2 mbps"
"Type of speed","2MT10MBPS","between 2 mbps and 10 mbps"
"Type of speed","ANYS","any speed"
"Type of speed","10MBPS","10 mbps and over"
"Type of speed","256KT2MBPS","between 256 kbps and 2 mbps"
"Type of speed","2MT10MBPS","between 2 mbps and 10 mbps"
"Type of speed","ANYS","any speed"
"Units","PER_100_POP","Per 100 population"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","NUMBER","Number"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","NUMBER","Number"
"Units","NUMBER","Number"
"Units","CU_USD","USD"
"Units","NUMBER","Number"
"Units","NUMBER","Number"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","NUMBER","Number"
"Units","CON_USD","Constant USD"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","CON_USD","Constant USD"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","PER_100_POP","Per 100 population"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","NUMBER","Number"
"Units","NUMBER","Number"
"Units","NUMBER","Number"
"Units","NUMBER","Number"
"Units","PERCENT","Percentage"
"Units","NUMBER","Number"
"Units","NUMBER","Number"
"Units","NUMBER","Number"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","CON_USD","Constant USD"
"Units","CON_USD","Constant USD"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","CON_USD","Constant USD"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","NOTAP","Not applicable"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","NUMBER","Number"
